symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_price_change
DGS10,1,0.14500000000000002,0.11000000000000032,0.09999999999999987,0.010757000000000006,-0.08000000000000007,-0.08999999999999987,-0.11999999999999966,5000,-0.10000000000000052
DGS10,2,0.16000000000000014,0.12499999999999957,0.10000000000000009,0.00834800000000001,-0.08000000000000007,-0.10000000000000009,-0.125,5000,-0.1299999999999999
DGS10,3,0.16000000000000014,0.1299999999999999,0.105,0.008315,-0.08000000000000007,-0.09499999999999975,-0.125,5000,-0.1599999999999997
DGS10,4,0.16999999999999993,0.115,0.09999999999999964,0.011155000000000007,-0.07999999999999964,-0.0950000000000002,-0.135,5000,-0.14500000000000002
DGS10,5,0.17999999999999972,0.1299999999999999,0.11000000000000032,0.009080000000000015,-0.08000000000000052,-0.09999999999999964,-0.12499999999999956,5000,-0.125
DGS10,6,0.17502500000000057,0.1349999999999998,0.11499999999999999,0.009355000000000006,-0.08499999999999996,-0.10499999999999998,-0.135,5000,-0.11499999999999977
DGS10,7,0.17002500000000048,0.1349999999999998,0.11499999999999956,0.010845000000000016,-0.08000000000000007,-0.09999999999999964,-0.13999999999999968,5000,-0.14500000000000002
DGS10,8,0.17999999999999972,0.1449999999999998,0.1200000000000001,0.009699000000000017,-0.08000000000000007,-0.10000000000000009,-0.1299999999999999,5000,-0.15000000000000036
DGS10,9,0.1900000000000004,0.1451249999999984,0.125,0.011056999999999999,-0.08999999999999986,-0.10499999999999998,-0.13000000000000078,5000,-0.16000000000000014
DGS10,10,0.1900250000000005,0.1499999999999999,0.1200000000000001,0.014913000000000025,-0.09000000000000075,-0.11000000000000032,-0.13500000000000023,5000,-0.10000000000000007
DGS10,11,0.20000000000000018,0.15500000000000025,0.13999999999999968,0.015226000000000023,-0.08999999999999986,-0.10999999999999988,-0.13502500000000023,5000,-0.10000000000000007
DGS10,12,0.20999999999999996,0.16000000000000014,0.14500000000000002,0.01628800000000002,-0.08499999999999952,-0.10000000000000053,-0.14999999999999947,5000,-0.08000000000000007
DGS10,13,0.22999999999999976,0.17499999999999982,0.14000000000000057,0.019462000000000017,-0.08499999999999976,-0.1050000000000002,-0.1499999999999997,5000,-0.11000000000000032
DGS10,14,0.22002500000000075,0.17999999999999994,0.16000000000000014,0.022381000000000012,-0.08000000000000007,-0.10999999999999988,-0.14999999999999947,5000,-0.16000000000000014
DGS10,15,0.22999999999999954,0.18999999999999995,0.16000000000000014,0.023202000000000007,-0.08499999999999952,-0.10999999999999988,-0.15002500000000032,5000,-0.08999999999999986
DGS20,-15,0,0,0,0,0,0,0,5000,0
DGS20,-14,0.0349999999999997,0.025000000000000355,0.020000000000000462,-0.0010350000000000055,-0.020000000000000462,-0.02999999999999936,-0.03000000000000025,5000,0
